Destination;Origin;Product;Year;dist_km;Euros
LU;BE;6;2013;139.5719386;9071441
BE;LU;6;2013;139.5719386;185230
LU;BE;7;2013;139.5719386;38326584
BE;LU;7;2013;139.5719386;2029270
LU;BE;8;2013;139.5719386;41192592
BE;LU;8;2013;139.5719386;3126616
LU;BE;9;2013;139.5719386;24521739
BE;LU;9;2013;139.5719386;5620221
LU;BE;10;2013;139.5719386;8397616
BE;LU;10;2013;139.5719386;3908680
LU;BE;11;2013;139.5719386;2763621
BE;LU;11;2013;139.5719386;15043302
LU;BE;12;2013;139.5719386;1786880
BE;LU;12;2013;139.5719386;379857
LU;BE;13;2013;139.5719386;146365
BE;LU;13;2013;139.5719386;19036
LU;BE;14;2013;139.5719386;144855
BE;LU;14;2013;139.5719386;650310
LU;BE;15;2013;139.5719386;14274947
BE;LU;15;2013;139.5719386;507925
LU;BE;16;2013;139.5719386;48416054
BE;LU;16;2013;139.5719386;3710818
LU;BE;17;2013;139.5719386;17319926
BE;LU;17;2013;139.5719386;931498
LU;BE;18;2013;139.5719386;36549441
BE;LU;18;2013;139.5719386;4576695
LU;BE;19;2013;139.5719386;69931239
BE;LU;19;2013;139.5719386;18358477
LU;BE;20;2013;139.5719386;35318267
BE;LU;20;2013;139.5719386;1743882
LU;BE;1;2014;139.5719386;4204273
BE;LU;1;2014;139.5719386;15839770
LU;BE;2;2014;139.5719386;72972761
BE;LU;2;2014;139.5719386;5210606
LU;BE;3;2014;139.5719386;26585613
BE;LU;3;2014;139.5719386;873814
LU;BE;4;2014;139.5719386;76658340
BE;LU;4;2014;139.5719386;13749964
LU;BE;5;2014;139.5719386;510718
BE;LU;5;2014;139.5719386;445435
LU;BE;6;2014;139.5719386;9227811
BE;LU;6;2014;139.5719386;63424
LU;BE;7;2014;139.5719386;36384157
BE;LU;7;2014;139.5719386;2083308
LU;BE;8;2014;139.5719386;39350722
BE;LU;8;2014;139.5719386;3908178
LU;BE;9;2014;139.5719386;22621695
BE;LU;9;2014;139.5719386;5625438
LU;BE;10;2014;139.5719386;11161199
BE;LU;10;2014;139.5719386;2733963
LU;BE;11;2014;139.5719386;2347875
BE;LU;11;2014;139.5719386;12095861
LU;BE;12;2014;139.5719386;1931356
BE;LU;12;2014;139.5719386;2563908
LU;BE;13;2014;139.5719386;106422
BE;LU;13;2014;139.5719386;6671
LU;BE;14;2014;139.5719386;140930
BE;LU;14;2014;139.5719386;723996
LU;BE;15;2014;139.5719386;12972514
BE;LU;15;2014;139.5719386;765051
LU;BE;16;2014;139.5719386;49894733
BE;LU;16;2014;139.5719386;4648779
LU;BE;17;2014;139.5719386;16259957
BE;LU;17;2014;139.5719386;256964
LU;BE;18;2014;139.5719386;36979695
BE;LU;18;2014;139.5719386;2970224
LU;BE;19;2014;139.5719386;74667647
BE;LU;19;2014;139.5719386;14918290
LU;BE;20;2014;139.5719386;38035725
BE;LU;20;2014;139.5719386;1346247
LU;BE;1;2015;139.5719386;3913670
BE;LU;1;2015;139.5719386;15459804
LU;BE;2;2015;139.5719386;75817946
BE;LU;2;2015;139.5719386;4803508
LU;BE;3;2015;139.5719386;27693128
BE;LU;3;2015;139.5719386;833786
LU;BE;4;2015;139.5719386;78825028
BE;LU;4;2015;139.5719386;28507770
LU;BE;5;2015;139.5719386;492751
BE;LU;5;2015;139.5719386;115883
LU;BE;6;2015;139.5719386;9463008
BE;LU;6;2015;139.5719386;67074
LU;BE;7;2015;139.5719386;40736903
BE;LU;7;2015;139.5719386;944690
LU;BE;8;2015;139.5719386;43219395
BE;LU;8;2015;139.5719386;4744453
LU;BE;9;2015;139.5719386;32841587
BE;LU;9;2015;139.5719386;4949088
LU;BE;10;2015;139.5719386;10830339
BE;LU;10;2015;139.5719386;3379282
LU;BE;11;2015;139.5719386;2361855
BE;LU;11;2015;139.5719386;14256681
LU;BE;12;2015;139.5719386;2856251
BE;LU;12;2015;139.5719386;2224115
LU;BE;13;2015;139.5719386;101704
BE;LU;13;2015;139.5719386;5246
LU;BE;14;2015;139.5719386;303753
BE;LU;14;2015;139.5719386;490970
LU;BE;15;2015;139.5719386;12316669
BE;LU;15;2015;139.5719386;545286
LU;BE;16;2015;139.5719386;48844637
BE;LU;16;2015;139.5719386;5114067
LU;BE;17;2015;139.5719386;14256221
BE;LU;17;2015;139.5719386;2744018
LU;BE;18;2015;139.5719386;36240085
BE;LU;18;2015;139.5719386;3285541
LU;BE;19;2015;139.5719386;75929466
BE;LU;19;2015;139.5719386;16334953
LU;BE;20;2015;139.5719386;36120425
BE;LU;20;2015;139.5719386;4623011
LU;BE;1;2016;139.5719386;3312437
BE;LU;1;2016;139.5719386;13369210
LU;BE;2;2016;139.5719386;78444610
BE;LU;2;2016;139.5719386;6333364
LU;BE;3;2016;139.5719386;30750246
BE;LU;3;2016;139.5719386;934880
LU;BE;4;2016;139.5719386;76718220
BE;LU;4;2016;139.5719386;34376924
LU;BE;5;2016;139.5719386;495079
BE;LU;5;2016;139.5719386;84629
LU;BE;6;2016;139.5719386;11696213
BE;LU;6;2016;139.5719386;88877
LU;BE;7;2016;139.5719386;43521416
BE;LU;7;2016;139.5719386;2572304
LU;BE;8;2016;139.5719386;46964702
BE;LU;8;2016;139.5719386;4218337
LU;BE;9;2016;139.5719386;29212871
BE;LU;9;2016;139.5719386;5414984
LU;BE;10;2016;139.5719386;9065150
BE;LU;10;2016;139.5719386;2647782
LU;BE;11;2016;139.5719386;1886825
BE;LU;11;2016;139.5719386;13603625
LU;BE;12;2016;139.5719386;2709623
BE;LU;12;2016;139.5719386;483600
LU;BE;13;2016;139.5719386;107475
BE;LU;13;2016;139.5719386;11986
LU;BE;14;2016;139.5719386;266712
BE;LU;14;2016;139.5719386;358440
LU;BE;15;2016;139.5719386;11452110
BE;LU;15;2016;139.5719386;537075
LU;BE;16;2016;139.5719386;47038018
BE;LU;16;2016;139.5719386;5359662
LU;BE;17;2016;139.5719386;13609789
BE;LU;17;2016;139.5719386;4083589
LU;BE;18;2016;139.5719386;34547691
BE;LU;18;2016;139.5719386;1640251
LU;BE;19;2016;139.5719386;73427054
BE;LU;19;2016;139.5719386;17791281
LU;BE;20;2016;139.5719386;33912318
BE;LU;20;2016;139.5719386;4786649
NL;BE;1;2007;194.1380184;132223381
BE;NL;1;2007;194.1380184;257527175
NL;BE;2;2007;194.1380184;443540369
BE;NL;2;2007;194.1380184;219281798
NL;BE;3;2007;194.1380184;144440271
BE;NL;3;2007;194.1380184;268049602
NL;BE;4;2007;194.1380184;415385948
BE;NL;4;2007;194.1380184;739078166
NL;BE;5;2007;194.1380184;8029158
BE;NL;5;2007;194.1380184;12687421
NL;BE;6;2007;194.1380184;117304135
BE;NL;6;2007;194.1380184;255847575
NL;BE;7;2007;194.1380184;286030286
BE;NL;7;2007;194.1380184;413720984
NL;BE;8;2007;194.1380184;300298361
BE;NL;8;2007;194.1380184;251340196
NL;BE;9;2007;194.1380184;74412495
BE;NL;9;2007;194.1380184;56897913
NL;BE;10;2007;194.1380184;185431464
BE;NL;10;2007;194.1380184;70247141
NL;BE;11;2007;194.1380184;111240516
BE;NL;11;2007;194.1380184;116671069
NL;BE;12;2007;194.1380184;98350214
BE;NL;12;2007;194.1380184;116269582
NL;BE;13;2007;194.1380184;6743982
BE;NL;13;2007;194.1380184;5153361
NL;BE;14;2007;194.1380184;1920137
BE;NL;14;2007;194.1380184;1512543
NL;BE;15;2007;194.1380184;262249932
BE;NL;15;2007;194.1380184;592850782
NL;BE;16;2007;194.1380184;207296798
BE;NL;16;2007;194.1380184;188973706
NL;BE;17;2007;194.1380184;193988218
BE;NL;17;2007;194.1380184;148386339
NL;BE;18;2007;194.1380184;208774007
BE;NL;18;2007;194.1380184;322171527
NL;BE;19;2007;194.1380184;306840066
BE;NL;19;2007;194.1380184;226763513
NL;BE;20;2007;194.1380184;191686643
BE;NL;20;2007;194.1380184;178013760
NL;BE;1;2008;194.1380184;163156798
BE;NL;1;2008;194.1380184;269521412
NL;BE;2;2008;194.1380184;493102759
BE;NL;2;2008;194.1380184;244533631
NL;BE;3;2008;194.1380184;134173979
BE;NL;3;2008;194.1380184;274155798
NL;BE;4;2008;194.1380184;414434285
BE;NL;4;2008;194.1380184;792462304
NL;BE;5;2008;194.1380184;8919364
BE;NL;5;2008;194.1380184;19536804
NL;BE;6;2008;194.1380184;124745825
BE;NL;6;2008;194.1380184;261136196
NL;BE;7;2008;194.1380184;269638891
BE;NL;7;2008;194.1380184;420882533
NL;BE;8;2008;194.1380184;339646824
BE;NL;8;2008;194.1380184;229732927
NL;BE;9;2008;194.1380184;105948835
BE;NL;9;2008;194.1380184;50713299
NL;BE;10;2008;194.1380184;249657397
BE;NL;10;2008;194.1380184;117520137
NL;BE;11;2008;194.1380184;148831222
BE;NL;11;2008;194.1380184;133403942
NL;BE;12;2008;194.1380184;94407641
BE;NL;12;2008;194.1380184;135359160
NL;BE;13;2008;194.1380184;6060467
BE;NL;13;2008;194.1380184;6778090
NL;BE;14;2008;194.1380184;1013924
BE;NL;14;2008;194.1380184;2277319
NL;BE;15;2008;194.1380184;323475628
BE;NL;15;2008;194.1380184;984785769
NL;BE;16;2008;194.1380184;201295971
BE;NL;16;2008;194.1380184;199359512
NL;BE;17;2008;194.1380184;188584812
BE;NL;17;2008;194.1380184;156129788
NL;BE;18;2008;194.1380184;226627982
BE;NL;18;2008;194.1380184;333758426
NL;BE;19;2008;194.1380184;381377229
BE;NL;19;2008;194.1380184;258199725
NL;BE;20;2008;194.1380184;233298421
BE;NL;20;2008;194.1380184;196917723
NL;BE;1;2009;194.1380184;177409220
BE;NL;1;2009;194.1380184;301332753
NL;BE;2;2009;194.1380184;460136454
BE;NL;2;2009;194.1380184;249849470
NL;BE;3;2009;194.1380184;161399503
BE;NL;3;2009;194.1380184;261097311
NL;BE;4;2009;194.1380184;393802493
BE;NL;4;2009;194.1380184;704246869
NL;BE;5;2009;194.1380184;14088545
BE;NL;5;2009;194.1380184;19808707
NL;BE;6;2009;194.1380184;145221421
BE;NL;6;2009;194.1380184;265049885
NL;BE;7;2009;194.1380184;247743885
BE;NL;7;2009;194.1380184;387364215
NL;BE;8;2009;194.1380184;293190015
BE;NL;8;2009;194.1380184;217996776
NL;BE;9;2009;194.1380184;131890702
BE;NL;9;2009;194.1380184;51221117
NL;BE;10;2009;194.1380184;124811525
BE;NL;10;2009;194.1380184;124937474
NL;BE;11;2009;194.1380184;156035311
BE;NL;11;2009;194.1380184;103920398
NL;BE;12;2009;194.1380184;63866383
BE;NL;12;2009;194.1380184;147648048
NL;BE;13;2009;194.1380184;11370557
BE;NL;13;2009;194.1380184;4931536
NL;BE;14;2009;194.1380184;590366
BE;NL;14;2009;194.1380184;2472887
NL;BE;15;2009;194.1380184;277488789
BE;NL;15;2009;194.1380184;712265406
NL;BE;16;2009;194.1380184;216372126
BE;NL;16;2009;194.1380184;201414852
NL;BE;17;2009;194.1380184;181922024
BE;NL;17;2009;194.1380184;153305491
NL;BE;18;2009;194.1380184;215119279
BE;NL;18;2009;194.1380184;292048318
NL;BE;19;2009;194.1380184;414860136
BE;NL;19;2009;194.1380184;263788503
NL;BE;20;2009;194.1380184;324956201
BE;NL;20;2009;194.1380184;202352190
NL;BE;1;2010;194.1380184;165143639
BE;NL;1;2010;194.1380184;335730682
NL;BE;2;2010;194.1380184;529160794
BE;NL;2;2010;194.1380184;265970036
NL;BE;3;2010;194.1380184;139976658
BE;NL;3;2010;194.1380184;252185713
NL;BE;4;2010;194.1380184;452771428
BE;NL;4;2010;194.1380184;813456317
NL;BE;5;2010;194.1380184;40035021
BE;NL;5;2010;194.1380184;18219977
NL;BE;6;2010;194.1380184;152094223
BE;NL;6;2010;194.1380184;250642696
NL;BE;7;2010;194.1380184;297467405
BE;NL;7;2010;194.1380184;436414531
NL;BE;8;2010;194.1380184;313545820
BE;NL;8;2010;194.1380184;241416593
NL;BE;9;2010;194.1380184;157259369
BE;NL;9;2010;194.1380184;58937214
NL;BE;10;2010;194.1380184;139958302
BE;NL;10;2010;194.1380184;119672621
NL;BE;11;2010;194.1380184;171081926
BE;NL;11;2010;194.1380184;81329023
NL;BE;12;2010;194.1380184;74827170
BE;NL;12;2010;194.1380184;185395566
NL;BE;13;2010;194.1380184;10199880
BE;NL;13;2010;194.1380184;5860355
NL;BE;14;2010;194.1380184;1004448
BE;NL;14;2010;194.1380184;1409641
NL;BE;15;2010;194.1380184;252493240
BE;NL;15;2010;194.1380184;720127972
NL;BE;16;2010;194.1380184;267774533
BE;NL;16;2010;194.1380184;205414697
NL;BE;17;2010;194.1380184;172654834
BE;NL;17;2010;194.1380184;156258300
NL;BE;18;2010;194.1380184;234601930
BE;NL;18;2010;194.1380184;327542676
NL;BE;19;2010;194.1380184;407899875
BE;NL;19;2010;194.1380184;255492412
NL;BE;20;2010;194.1380184;328676775
BE;NL;20;2010;194.1380184;225921709
NL;BE;1;2011;194.1380184;202506148
BE;NL;1;2011;194.1380184;338501524
NL;BE;2;2011;194.1380184;553158254
BE;NL;2;2011;194.1380184;328180497
NL;BE;3;2011;194.1380184;142275308
BE;NL;3;2011;194.1380184;289537402
NL;BE;4;2011;194.1380184;547151296
BE;NL;4;2011;194.1380184;975798739
NL;BE;5;2011;194.1380184;13874143
BE;NL;5;2011;194.1380184;26965198
NL;BE;6;2011;194.1380184;164362626
BE;NL;6;2011;194.1380184;256667422
NL;BE;7;2011;194.1380184;283686696
BE;NL;7;2011;194.1380184;462905733
NL;BE;8;2011;194.1380184;333825085
BE;NL;8;2011;194.1380184;256462525
NL;BE;9;2011;194.1380184;190882347
BE;NL;9;2011;194.1380184;77306124
NL;BE;10;2011;194.1380184;167615186
BE;NL;10;2011;194.1380184;156355932
NL;BE;11;2011;194.1380184;226569303
BE;NL;11;2011;194.1380184;101804100
NL;BE;12;2011;194.1380184;97183934
BE;NL;12;2011;194.1380184;188447783
NL;BE;13;2011;194.1380184;7713525
BE;NL;13;2011;194.1380184;5905736
NL;BE;14;2011;194.1380184;432973
BE;NL;14;2011;194.1380184;1965153
NL;BE;15;2011;194.1380184;444297671
BE;NL;15;2011;194.1380184;1076053961
NL;BE;16;2011;194.1380184;282057184
BE;NL;16;2011;194.1380184;234611028
NL;BE;17;2011;194.1380184;213347503
BE;NL;17;2011;194.1380184;166213614
NL;BE;18;2011;194.1380184;279092473
BE;NL;18;2011;194.1380184;376598842
NL;BE;19;2011;194.1380184;437079916
BE;NL;19;2011;194.1380184;260262477
NL;BE;20;2011;194.1380184;385884795
BE;NL;20;2011;194.1380184;241106984
NL;BE;1;2012;194.1380184;210438008
BE;NL;1;2012;194.1380184;353205551
NL;BE;2;2012;194.1380184;546894019
BE;NL;2;2012;194.1380184;345964954
NL;BE;3;2012;194.1380184;155692084
BE;NL;3;2012;194.1380184;356210961
NL;BE;4;2012;194.1380184;559006576
BE;NL;4;2012;194.1380184;989033056
NL;BE;5;2012;194.1380184;71719686
BE;NL;5;2012;194.1380184;34514827
NL;BE;6;2012;194.1380184;170581505
BE;NL;6;2012;194.1380184;259339180
NL;BE;7;2012;194.1380184;289528953
BE;NL;7;2012;194.1380184;493437574
NL;BE;8;2012;194.1380184;281351515
BE;NL;8;2012;194.1380184;287557941
NL;BE;9;2012;194.1380184;175673291
BE;NL;9;2012;194.1380184;74635432
NL;BE;10;2012;194.1380184;195718803
BE;NL;10;2012;194.1380184;128924522
NL;BE;11;2012;194.1380184;225996183
BE;NL;11;2012;194.1380184;94939913
NL;BE;12;2012;194.1380184;83060951
BE;NL;12;2012;194.1380184;161465526
NL;BE;13;2012;194.1380184;11608297
BE;NL;13;2012;194.1380184;6732162
NL;BE;14;2012;194.1380184;2348999
BE;NL;14;2012;194.1380184;1284480
NL;BE;15;2012;194.1380184;526191341
BE;NL;15;2012;194.1380184;974835529
NL;BE;16;2012;194.1380184;265273206
BE;NL;16;2012;194.1380184;234175180
NL;BE;17;2012;194.1380184;213199070
BE;NL;17;2012;194.1380184;197953304
NL;BE;18;2012;194.1380184;285314798
BE;NL;18;2012;194.1380184;346510447
NL;BE;19;2012;194.1380184;500019252
BE;NL;19;2012;194.1380184;311525097
NL;BE;20;2012;194.1380184;380184134
BE;NL;20;2012;194.1380184;255407651
NL;BE;1;2013;194.1380184;210636184
BE;NL;1;2013;194.1380184;334671090
NL;BE;2;2013;194.1380184;490187108
BE;NL;2;2013;194.1380184;384208193
NL;BE;3;2013;194.1380184;174270307
BE;NL;3;2013;194.1380184;358183980
NL;BE;4;2013;194.1380184;533121734
BE;NL;4;2013;194.1380184;1119907694
NL;BE;5;2013;194.1380184;46841783
BE;NL;5;2013;194.1380184;38766255
NL;BE;6;2013;194.1380184;199020062
BE;NL;6;2013;194.1380184;263872989
NL;BE;7;2013;194.1380184;323359298
BE;NL;7;2013;194.1380184;545904159
NL;BE;8;2013;194.1380184;262316471
BE;NL;8;2013;194.1380184;330615801
NL;BE;9;2013;194.1380184;267857878
BE;NL;9;2013;194.1380184;72976769
NL;BE;10;2013;194.1380184;176245868
BE;NL;10;2013;194.1380184;145035581
NL;BE;11;2013;194.1380184;239044451
BE;NL;11;2013;194.1380184;108589378
NL;BE;12;2013;194.1380184;68535848
BE;NL;12;2013;194.1380184;304462231
NL;BE;13;2013;194.1380184;13363947
BE;NL;13;2013;194.1380184;6948183
NL;BE;14;2013;194.1380184;2209443
BE;NL;14;2013;194.1380184;1264543
NL;BE;15;2013;194.1380184;477787420
